C_66_Y_AC_68|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
425.0|41720.0|AK_24|CL_66_Y_AC_68|1030.0|1.0|333.0|2.0|6.0|5.0|0.0|0.0|0.0|1.0|0.0|3.0|5.0|0.0|0.0|0.0|54.0|16.0|CORRESPONDE A LA AK 24 CON CL 68
397.0|41720.0|AK_24|CL_66_Y_AC_68|1045.0|1.0|284.0|4.0|7.0|4.0|0.0|0.0|0.0|2.0|0.0|8.0|9.0|0.0|0.0|0.0|62.0|17.0|CORRESPONDE A LA AK 24 CON CL 68
386.0|41720.0|AK_24|CL_66_Y_AC_68|1100.0|1.0|270.0|5.0|0.0|5.0|0.0|0.0|0.0|1.0|0.0|3.0|7.0|0.0|0.0|0.0|70.0|25.0|CORRESPONDE A LA AK 24 CON CL 68
359.0|41720.0|AK_24|CL_66_Y_AC_68|1115.0|1.0|265.0|2.0|6.0|5.0|0.0|0.0|0.0|3.0|0.0|4.0|3.0|0.0|0.0|0.0|59.0|12.0|CORRESPONDE A LA AK 24 CON CL 68
422.0|41720.0|AK_24|CL_66_Y_AC_68|1130.0|1.0|307.0|3.0|5.0|3.0|0.0|0.0|0.0|2.0|0.0|3.0|6.0|0.0|0.0|0.0|75.0|18.0|CORRESPONDE A LA AK 24 CON CL 68
431.0|41720.0|AK_24|CL_66_Y_AC_68|1145.0|1.0|312.0|3.0|3.0|5.0|0.0|0.0|0.0|4.0|0.0|1.0|5.0|0.0|0.0|0.0|86.0|12.0|CONGESTIÓN VEHICULAR DE 11:50 A 14:00; CORRESPONDE A LA AK 24 CON CL 68
372.0|41720.0|AK_24|CL_66_Y_AC_68|1200.0|1.0|272.0|2.0|4.0|3.0|0.0|0.0|0.0|1.0|0.0|4.0|8.0|0.0|0.0|0.0|67.0|11.0|CONGESTIÓN VEHICULAR DE 11:50 A 14:00; CORRESPONDE A LA AK 24 CON CL 68
426.0|41720.0|AK_24|CL_66_Y_AC_68|1215.0|1.0|284.0|3.0|3.0|4.0|0.0|0.0|0.0|0.0|0.0|1.0|11.0|1.0|0.0|0.0|103.0|16.0|CONGESTIÓN VEHICULAR DE 11:50 A 14:00; CORRESPONDE A LA AK 24 CON CL 68
383.0|41720.0|AK_24|CL_66_Y_AC_68|1230.0|1.0|286.0|2.0|4.0|3.0|0.0|0.0|0.0|3.0|0.0|1.0|6.0|0.0|0.0|0.0|68.0|10.0|CONGESTIÓN VEHICULAR DE 11:50 A 14:00; CORRESPONDE A LA AK 24 CON CL 68
443.0|41720.0|AK_24|CL_66_Y_AC_68|1245.0|1.0|318.0|3.0|4.0|5.0|0.0|0.0|0.0|1.0|0.0|1.0|7.0|0.0|0.0|0.0|95.0|9.0|CONGESTIÓN VEHICULAR DE 11:50 A 14:00; CORRESPONDE A LA AK 24 CON CL 68
416.0|41720.0|AK_24|CL_66_Y_AC_68|1300.0|1.0|303.0|1.0|7.0|5.0|0.0|0.0|0.0|2.0|0.0|3.0|3.0|0.0|0.0|0.0|81.0|11.0|CONGESTIÓN VEHICULAR DE 11:50 A 14:00; CORRESPONDE A LA AK 24 CON CL 68
478.0|41720.0|AK_24|CL_66_Y_AC_68|1315.0|1.0|322.0|5.0|2.0|5.0|0.0|0.0|0.0|1.0|0.0|2.0|6.0|0.0|0.0|0.0|120.0|15.0|CONGESTIÓN VEHICULAR DE 11:50 A 14:00; CORRESPONDE A LA AK 24 CON CL 68
462.0|41720.0|AK_24|CL_66_Y_AC_68|1330.0|1.0|350.0|2.0|4.0|5.0|0.0|0.0|0.0|3.0|0.0|4.0|3.0|0.0|0.0|0.0|74.0|17.0|CONGESTIÓN VEHICULAR DE 11:50 A 14:00; CORRESPONDE A LA AK 24 CON CL 68
384.0|41720.0|AK_24|CL_66_Y_AC_68|1345.0|1.0|277.0|3.0|2.0|5.0|0.0|0.0|0.0|3.0|0.0|2.0|4.0|0.0|0.0|0.0|78.0|10.0|CONGESTIÓN VEHICULAR DE 11:50 A 14:00; CORRESPONDE A LA AK 24 CON CL 68
358.0|41720.0|AK_24|CL_66_Y_AC_68|1400.0|1.0|235.0|6.0|8.0|1.0|0.0|0.0|0.0|2.0|0.0|3.0|3.0|0.0|0.0|0.0|86.0|14.0|CORRESPONDE A LA AK 24 CON CL 68
344.0|41720.0|AK_24|CL_66_Y_AC_68|1415.0|1.0|245.0|3.0|7.0|6.0|0.0|0.0|0.0|3.0|0.0|2.0|4.0|0.0|0.0|0.0|68.0|6.0|CORRESPONDE A LA AK 24 CON CL 68
358.0|41720.0|AK_24|CL_66_Y_AC_68|1430.0|1.0|261.0|3.0|5.0|5.0|0.0|0.0|0.0|2.0|0.0|4.0|0.0|0.0|0.0|0.0|61.0|17.0|CORRESPONDE A LA AK 24 CON CL 68
305.0|41720.0|AK_24|CL_66_Y_AC_68|1445.0|1.0|203.0|3.0|6.0|4.0|0.0|0.0|0.0|3.0|0.0|2.0|2.0|0.0|0.0|0.0|76.0|6.0|CORRESPONDE A LA AK 24 CON CL 68
342.0|41720.0|AK_24|CL_66_Y_AC_68|1500.0|1.0|248.0|2.0|2.0|8.0|0.0|0.0|0.0|1.0|0.0|1.0|3.0|0.0|0.0|0.0|61.0|16.0|CORRESPONDE A LA AK 24 CON CL 68
300.0|41720.0|AK_24|CL_66_Y_AC_68|1515.0|1.0|225.0|3.0|5.0|4.0|0.0|0.0|0.0|2.0|0.0|1.0|1.0|0.0|0.0|0.0|44.0|15.0|CORRESPONDE A LA AK 24 CON CL 68
295.0|41720.0|AK_24|CL_66_Y_AC_68|1530.0|1.0|212.0|3.0|5.0|3.0|0.0|0.0|0.0|0.0|0.0|1.0|3.0|0.0|0.0|0.0|58.0|10.0|CORRESPONDE A LA AK 24 CON CL 68
305.0|41720.0|AK_24|CL_66_Y_AC_68|1545.0|1.0|228.0|2.0|1.0|5.0|0.0|0.0|0.0|1.0|0.0|2.0|4.0|0.0|0.0|0.0|55.0|7.0|CORRESPONDE A LA AK 24 CON CL 68
328.0|41720.0|AK_24|CL_66_Y_AC_68|1600.0|1.0|246.0|2.0|4.0|3.0|0.0|0.0|0.0|1.0|0.0|1.0|4.0|0.0|0.0|0.0|62.0|5.0|CORRESPONDE A LA AK 24 CON CL 68
282.0|41720.0|AK_24|CL_66_Y_AC_68|1615.0|1.0|210.0|3.0|3.0|5.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|58.0|2.0|CORRESPONDE A LA AK 24 CON CL 68
311.0|41720.0|AK_24|CL_66_Y_AC_68|1630.0|1.0|221.0|5.0|5.0|3.0|0.0|0.0|0.0|3.0|0.0|0.0|2.0|0.0|0.0|0.0|60.0|12.0|CORRESPONDE A LA AK 24 CON CL 68
251.0|41720.0|AK_24|CL_66_Y_AC_68|1645.0|1.0|185.0|2.0|3.0|4.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|0.0|0.0|0.0|46.0|8.0|CORRESPONDE A LA AK 24 CON CL 68
