|ESTRUCTURA DE LA BASE DE DATOS|||||||||||||||||||||
|FECHA DE TOMA DE INFORMACIÓN EN FORMATO DD/MM/AAA|VÍA  ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|LOCALIZACIÓN ESPECIFICA DONDE SE EFECTUÓ LA TOMA DE INFORMACIÓN|PERÍODO DE CONTEO DE 15 MINUTOS IDENTIFICADO CON LA HORA HORA INICIAL DEL FORMATO GENERAL|ACCESOS A LOS FLUJOS VEHICULARES|AUTOMÓVILES|COLECTIVOS|BUSETA/BUSE TON|BUSES|ALIMENTADOR|ARTICULADO|BIARTICULADOS|BUS ESPECIAL|BUS INTERMUNICIPAL|CAMIONES DE 2 EJES PEQUEÑO|CAMIONES DE 2 EJES GRANDE|CAMIONES DE 3 Y 4 EJES|CAMIONES DE 5 EJES|CAMIONES DE MAS DE 5 EJES|MOTOS|BICICLETAS|OBSERVACIONES REFERIDAS SOLAMENTE A LA TOMA DE INFORMACIÓN
TOTAL MIXTOS|FECHA|VÍA PRINCIPAL|VÍA SECUNDARIA|PERIODO|SENTIDO|L|C|BT|B|AL|AT|BA|ESP|INT|C2P|C2G|C3-C4|C5|>C5|M|BIC|OBSERVACIONES
664.0|41797.0|AK_72|AC_138|1500.0|1.0|522.0|0.0|8.0|7.0|0.0|0.0|0.0|2.0|21.0|1.0|14.0|3.0|5.0|6.0|75.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
598.0|41797.0|AK_72|AC_138|1515.0|1.0|478.0|0.0|7.0|5.0|0.0|0.0|0.0|2.0|15.0|1.0|13.0|0.0|3.0|3.0|71.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
663.0|41797.0|AK_72|AC_138|1530.0|1.0|546.0|1.0|6.0|6.0|0.0|0.0|0.0|6.0|18.0|1.0|12.0|2.0|6.0|4.0|55.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
637.0|41797.0|AK_72|AC_138|1545.0|1.0|521.0|2.0|7.0|2.0|0.0|0.0|0.0|3.0|14.0|3.0|14.0|3.0|6.0|2.0|60.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
681.0|41797.0|AK_72|AC_138|1600.0|1.0|595.0|0.0|5.0|6.0|0.0|0.0|0.0|2.0|14.0|0.0|6.0|1.0|1.0|1.0|49.0|1.0|1337-1730 LLUEVE ESPORADICAMENTE.
608.0|41797.0|AK_72|AC_138|1615.0|1.0|513.0|0.0|5.0|6.0|0.0|0.0|0.0|2.0|15.0|3.0|8.0|0.0|2.0|3.0|51.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
739.0|41797.0|AK_72|AC_138|1630.0|1.0|610.0|1.0|11.0|6.0|0.0|0.0|0.0|4.0|23.0|2.0|10.0|0.0|2.0|0.0|70.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
700.0|41797.0|AK_72|AC_138|1645.0|1.0|579.0|0.0|8.0|5.0|0.0|0.0|0.0|2.0|16.0|0.0|9.0|0.0|6.0|0.0|75.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
681.0|41797.0|AK_72|AC_138|1700.0|1.0|594.0|1.0|5.0|8.0|0.0|0.0|0.0|3.0|12.0|1.0|4.0|1.0|2.0|0.0|50.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
726.0|41797.0|AK_72|AC_138|1715.0|1.0|606.0|2.0|6.0|3.0|0.0|0.0|0.0|2.0|13.0|1.0|8.0|1.0|0.0|0.0|84.0|0.0|1337-1730 LLUEVE ESPORADICAMENTE.
701.0|41797.0|AK_72|AC_138|1730.0|1.0|585.0|0.0|4.0|4.0|0.0|0.0|0.0|1.0|11.0|0.0|9.0|0.0|1.0|1.0|85.0|0.0|
695.0|41797.0|AK_72|AC_138|1745.0|1.0|569.0|0.0|5.0|6.0|0.0|0.0|0.0|6.0|8.0|0.0|11.0|0.0|1.0|3.0|86.0|0.0|
762.0|41797.0|AK_72|AC_138|1800.0|1.0|651.0|0.0|6.0|5.0|0.0|0.0|0.0|3.0|12.0|2.0|8.0|0.0|1.0|1.0|73.0|0.0|
700.0|41797.0|AK_72|AC_138|1815.0|1.0|572.0|0.0|0.0|5.0|0.0|0.0|0.0|5.0|11.0|7.0|5.0|1.0|0.0|3.0|91.0|0.0|
679.0|41797.0|AK_72|AC_138|1830.0|1.0|553.0|0.0|9.0|6.0|0.0|0.0|0.0|3.0|15.0|8.0|4.0|0.0|2.0|1.0|78.0|0.0|
660.0|41797.0|AK_72|AC_138|1845.0|1.0|568.0|1.0|3.0|3.0|0.0|0.0|0.0|4.0|7.0|0.0|10.0|1.0|3.0|4.0|56.0|0.0|
632.0|41797.0|AK_72|AC_138|1900.0|1.0|531.0|1.0|5.0|6.0|0.0|0.0|0.0|3.0|12.0|0.0|11.0|0.0|0.0|2.0|61.0|0.0|1912-1950 LLUEVE.
676.0|41797.0|AK_72|AC_138|1915.0|1.0|578.0|0.0|3.0|7.0|0.0|0.0|0.0|6.0|15.0|1.0|7.0|0.0|0.0|1.0|58.0|0.0|1912-1950 LLUEVE.
665.0|41797.0|AK_72|AC_138|1930.0|1.0|565.0|0.0|7.0|5.0|0.0|0.0|0.0|5.0|13.0|0.0|7.0|0.0|0.0|1.0|62.0|0.0|1912-1950 LLUEVE.
653.0|41797.0|AK_72|AC_138|1945.0|1.0|574.0|0.0|6.0|4.0|0.0|0.0|0.0|1.0|17.0|0.0|6.0|0.0|3.0|0.0|42.0|0.0|1912-1950 LLUEVE.
685.0|41797.0|AK_72|AC_138|2000.0|1.0|584.0|1.0|5.0|8.0|0.0|0.0|0.0|4.0|13.0|0.0|3.0|1.0|1.0|0.0|65.0|0.0|
621.0|41797.0|AK_72|AC_138|2015.0|1.0|558.0|0.0|8.0|3.0|0.0|0.0|0.0|2.0|16.0|0.0|7.0|0.0|0.0|1.0|26.0|0.0|
596.0|41797.0|AK_72|AC_138|2030.0|1.0|503.0|1.0|8.0|2.0|0.0|0.0|0.0|7.0|24.0|0.0|3.0|1.0|0.0|0.0|47.0|0.0|
570.0|41797.0|AK_72|AC_138|2045.0|1.0|481.0|0.0|6.0|10.0|0.0|0.0|0.0|5.0|10.0|0.0|8.0|0.0|2.0|1.0|47.0|0.0|
558.0|41797.0|AK_72|AC_138|2100.0|1.0|501.0|0.0|6.0|2.0|0.0|0.0|0.0|1.0|7.0|1.0|4.0|0.0|0.0|0.0|36.0|0.0|
508.0|41797.0|AK_72|AC_138|2115.0|1.0|431.0|0.0|6.0|4.0|0.0|0.0|0.0|7.0|12.0|0.0|1.0|1.0|1.0|1.0|44.0|0.0|
484.0|41797.0|AK_72|AC_138|2130.0|1.0|415.0|0.0|11.0|6.0|0.0|0.0|0.0|2.0|5.0|0.0|7.0|0.0|0.0|3.0|35.0|0.0|
415.0|41797.0|AK_72|AC_138|2145.0|1.0|353.0|0.0|6.0|3.0|0.0|0.0|0.0|3.0|8.0|0.0|5.0|0.0|2.0|0.0|35.0|0.0|
841.0|41797.0|AK_72|AC_138|2200.0|2.0|783.0|4.0|12.0|5.0|0.0|0.0|0.0|2.0|5.0|1.0|2.0|0.0|0.0|2.0|25.0|0.0|AUMENTA LIVIANOS POR LIBERACION DE CONGESTION 
655.0|41797.0|AK_72|AC_138|2215.0|2.0|598.0|1.0|6.0|1.0|0.0|0.0|0.0|1.0|3.0|1.0|7.0|0.0|0.0|0.0|37.0|0.0|
643.0|41797.0|AK_72|AC_138|2230.0|2.0|600.0|1.0|4.0|0.0|0.0|0.0|0.0|6.0|4.0|0.0|1.0|0.0|0.0|0.0|27.0|0.0|
473.0|41797.0|AK_72|AC_138|2245.0|2.0|433.0|2.0|3.0|2.0|0.0|0.0|0.0|5.0|3.0|1.0|1.0|0.0|0.0|1.0|22.0|0.0|
446.0|41797.0|AK_72|AC_138|2300.0|2.0|410.0|1.0|4.0|0.0|0.0|0.0|0.0|3.0|2.0|1.0|2.0|0.0|0.0|0.0|22.0|1.0|
443.0|41797.0|AK_72|AC_138|2315.0|2.0|402.0|2.0|7.0|0.0|0.0|0.0|0.0|2.0|4.0|1.0|2.0|1.0|0.0|1.0|20.0|1.0|
356.0|41797.0|AK_72|AC_138|2330.0|2.0|318.0|1.0|3.0|0.0|0.0|0.0|0.0|4.0|3.0|1.0|3.0|0.0|2.0|1.0|19.0|1.0|
336.0|41797.0|AK_72|AC_138|2345.0|2.0|302.0|0.0|3.0|0.0|0.0|0.0|0.0|1.0|3.0|0.0|3.0|0.0|0.0|0.0|24.0|0.0|
269.0|41797.0|AK_72|AC_138|0.0|2.0|241.0|1.0|5.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|1.0|0.0|2.0|0.0|17.0|0.0|
303.0|41797.0|AK_72|AC_138|15.0|2.0|278.0|0.0|4.0|0.0|0.0|0.0|0.0|2.0|1.0|0.0|2.0|0.0|0.0|1.0|15.0|0.0|
249.0|41797.0|AK_72|AC_138|30.0|2.0|228.0|0.0|0.0|1.0|0.0|0.0|0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|16.0|0.0|
262.0|41797.0|AK_72|AC_138|45.0|2.0|224.0|0.0|2.0|0.0|0.0|0.0|0.0|2.0|1.0|0.0|2.0|2.0|0.0|0.0|28.0|1.0|
184.0|41797.0|AK_72|AC_138|100.0|2.0|171.0|0.0|2.0|0.0|0.0|0.0|0.0|3.0|0.0|0.0|0.0|2.0|0.0|0.0|6.0|0.0|
181.0|41797.0|AK_72|AC_138|115.0|2.0|172.0|0.0|1.0|0.0|0.0|0.0|0.0|4.0|1.0|0.0|2.0|1.0|0.0|0.0|0.0|0.0|
167.0|41797.0|AK_72|AC_138|130.0|2.0|150.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|1.0|3.0|0.0|0.0|0.0|11.0|0.0|
