Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
L_AC_26_TV_93,NOHAB,11,20173,19,0.8333333333333334,8.333333333333334,2.5,11.0,4.166666666666667,8.0,29.5,19.5,4.666666666666667,0.3333333333333333,0.16666666666666666,8.0,0.5,915.8333333333334,67.83333333333333,1081.1666666666667
L_AC_26_TV_93,NOHAB,11,20173,20,1.1666666666666667,8.333333333333334,3.0,10.333333333333334,3.3333333333333335,8.333333333333334,32.166666666666664,24.166666666666668,5.166666666666667,0.3333333333333333,0.16666666666666666,14.833333333333334,0.16666666666666666,1011.6666666666666,63.166666666666664,1186.3333333333333
L_AC_26_TV_93,NOHAB,11,20173,21,0.5,9.666666666666666,3.1666666666666665,7.666666666666667,13.333333333333334,9.166666666666666,23.5,14.166666666666666,3.8333333333333335,0.8333333333333334,0.16666666666666666,11.833333333333334,0.3333333333333333,941.3333333333334,67.66666666666667,1107.166666666667
L_AC_26_TV_93,NOHAB,11,20173,22,0.3333333333333333,12.5,3.1666666666666665,7.333333333333333,7.0,9.166666666666666,18.166666666666668,14.833333333333334,9.833333333333334,1.3333333333333333,0.0,18.666666666666668,0.5,912.5,75.66666666666667,1091.0
L_AC_26_TV_93,NOHAB,11,20173,23,0.6666666666666666,8.666666666666666,2.5,4.0,2.8333333333333335,9.166666666666666,5.666666666666667,10.833333333333334,5.0,0.5,0.16666666666666666,13.833333333333334,0.16666666666666666,585.3333333333334,35.5,684.8333333333333
L_AK_10_AC_19,NOHAB,26,42508,0,0.0,0.0,0.3333333333333333,7.083333333333334,0.0,4.041666666666667,3.208333333333333,0.75,0.9583333333333333,0.20833333333333331,0.0,2.375,0.0,295.9583333333333,26.75,341.66666666666663
L_AK_10_AC_19,NOHAB,26,42508,1,0.0,0.0,0.0,3.5,0.0,0.29166666666666663,1.625,0.9166666666666667,1.2916666666666667,0.125,0.0,2.25,0.0,255.95833333333331,17.916666666666664,283.87500000000006
L_AK_10_AC_19,NOHAB,26,42508,2,0.0,0.0,0.08333333333333333,1.625,0.08333333333333333,0.75,1.7916666666666665,1.75,0.7916666666666666,0.625,0.0,1.2916666666666665,0.20833333333333331,221.79166666666669,12.125,242.91666666666669
L_AK_10_AC_19,NOHAB,26,42508,3,0.0,0.75,0.0,1.0,0.0,1.375,1.9166666666666665,1.8333333333333335,1.25,0.29166666666666663,0.125,1.375,0.75,196.79166666666669,12.083333333333334,219.54166666666669
L_AK_10_AC_19,NOHAB,26,42508,4,0.0,0.3333333333333333,0.9166666666666666,8.666666666666668,0.0,9.166666666666666,5.75,2.4583333333333335,2.1666666666666665,0.41666666666666663,0.0,2.916666666666667,0.5416666666666666,188.54166666666669,20.541666666666664,242.41666666666669
L_AK_10_AC_19,NOHAB,26,42508,5,0.0,0.0,5.333333333333333,44.41666666666667,0.20833333333333331,44.625,34.958333333333336,3.875,5.208333333333333,1.0,0.0,3.0,0.08333333333333333,181.29166666666669,94.66666666666666,418.66666666666663
L_AK_10_AC_19,NOHAB,26,42508,6,0.0,0.0,8.833333333333334,83.95833333333334,0.0,51.666666666666664,59.16666666666667,4.875,5.625,0.875,0.08333333333333333,6.541666666666667,0.0,233.16666666666669,139.66666666666666,594.4583333333334
L_AK_10_AC_19,NOHAB,26,42508,7,0.0,0.0,7.875,88.58333333333334,0.0,69.0,69.83333333333333,5.916666666666666,6.625,1.0416666666666667,0.0,4.25,0.20833333333333331,348.58333333333337,146.95833333333331,748.875
L_AK_10_AC_19,NOHAB,26,42508,8,0.0,0.0,7.458333333333333,83.25,0.08333333333333333,69.83333333333333,69.91666666666667,6.333333333333334,10.083333333333334,1.0416666666666667,0.0,2.833333333333333,0.125,367.5,134.54166666666669,753.0000000000001
L_AK_10_AC_19,NOHAB,26,42508,9,0.0,0.0,7.583333333333333,83.375,0.16666666666666666,69.58333333333333,70.83333333333333,6.041666666666667,10.041666666666666,1.0833333333333333,0.08333333333333333,3.5416666666666665,0.125,396.875,120.91666666666666,770.25
L_AK_10_AC_19,NOHAB,26,42508,10,0.0,0.0,7.875,68.29166666666666,0.3333333333333333,72.08333333333333,60.95833333333333,5.25,9.458333333333334,1.0,0.0,2.1666666666666665,0.0,372.70833333333337,129.83333333333334,729.9583333333335
L_AK_10_AC_19,NOHAB,26,42508,11,0.0,0.0,8.375,57.25,0.08333333333333333,78.16666666666667,62.54166666666667,3.5833333333333335,9.541666666666666,0.9166666666666666,0.0,1.25,0.0,409.04166666666663,135.625,766.3749999999999
